video_id,video_title,channel_title,view_count,like_count,total_comments,duration_minutes,comments_collected,total_comment_likes,avg_comment_likes,published_at
-15yqacBdrE,Zelensky Plays APT on Guitar for Trump,Fodi,2162433,14574,1379,0.21666666666666667,49,6434.0,131.30612244897958,2025-03-07 10:47:51
-9U4qSpUmeA,Tranh cãi Trump Zelensky lại bùng lên khi Mỹ cố gắng thúc đẩy thỏa thuận về Ukraine,Báo Thanh Niên,32437,183,0,7.716666666666667,0,0.0,,2025-04-24 06:35:06
-RGj1nXG-n8,Zelensky deixa a Casa Branca após reunião acalorada com Donald Trump | CNN 360º,CNN Brasil,49348,851,416,1.9833333333333334,36,966.0,26.833333333333332,2025-02-28 19:01:19
-SYunbrY7sc,Trump DIDN&#39;T SEE IT COMING: Zelensky’s trip to South Africa STUNS HIM,Diario AS,1779,15,2,2.033333333333333,1,6.0,6.0,2025-05-21 18:08:35
-Vj0PtXFfkI,What&#39;s next for US and Ukraine relations ? #zelensky #trump,Prabhat Exam,3381,146,2,1.25,0,0.0,,2025-03-04 06:17:39
-XB4x0lQhAA,BREAKING NEWS: Trump Speaks To Reporters After Fiery Oval Office Clash With Ukraine&#39;s Zelensky,Forbes Breaking News,1750784,30292,12362,8.166666666666666,195,42083.0,215.81025641025641,2025-02-28 22:59:30
-ZWiBfe4Wy4,Una volta in Vaticano... _#rome #midjourney #roma #giubileo #pope #papafrancisco #zelensky #trump,cosplay,1204655,4279,45,0.18333333333333332,4,21.0,5.25,2025-04-27 03:15:31
-aZIoO9Yql4,Affrontement entre Donald Trump et Volodymyr Zelensky : la réaction du consul ukrainien,Radio-Canada Info,69555,0,469,6.533333333333333,51,838.0,16.431372549019606,2025-03-01 01:38:37
-d0L279pnN4,¿Por qué Trump se enfrentó a Zelenski?,Sky News en Español,259263,0,141,1.25,10,144.0,14.4,2025-03-03 16:40:40
-onI385ehD8,Schiff DESTROYS Trump over HIS MELTDOWN with Zelenskyy,MeidasTouch,2283369,109469,22555,11.766666666666667,221,92903.0,420.3755656108597,2025-03-01 02:46:07
