video_id,video_title,channel_title,channel_id,video_published_at,video_view_count,video_like_count,video_comment_count,video_duration,video_description,comment_author,comment_text,comment_like_count,comment_published_at,comment_updated_at,comment_replies_count,is_reply,video_age_days,comment_length,video_duration_seconds,video_duration_minutes
jmJOSKmc_9E,Ukrainian forces eliminated 14 Russian soldiers attempting concealment in Donbas front,US Military Rifle,UCWBDpJ6BB2Sp7ZsdsDECgSA,2025-05-10 21:15:04,536,36,1,PT8M40S,Ukrainian forces eliminated 14 Russian soldiers attempting concealment in Donbas front #ukraine #ukrainewar #usmilitaryrifle ...,,,,,,,False,85,,520,8.666666666666666
lew5OQqBaWw,Trump&#39;s message to Russia and Ukraine: Get this war ended,KMPH FOX26 NEWS,UCKbj5d8f70i0AYLyiJ3YMXg,2025-05-10 19:00:40,13293,152,8,PT32S,"President Trump's message to Russian President Putin and Ukrainian President Zelenskyy: “I say, get this stupid war finished.",,,,,,,False,86,,32,0.5333333333333333
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@RFU,🔴 Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing,63.0,2025-05-10 04:42:41+00:00,2025-05-10T04:42:41Z,0.0,False,86,123.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@Curlyhowardfan,I knew that Russia wouldn’t observe its own declared ceasefire,196.0,2025-05-10 18:25:47+00:00,2025-05-10T18:25:47Z,2.0,False,86,62.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@The-Droll-and-LazyJoker,"Putin's cease-fire had a threshold, anything below ""it's all good"" and anything above, not so... much!
                                                            (lol)   Viva, Ukraine!",16.0,2025-05-10 19:11:05+00:00,2025-05-10T19:11:05Z,0.0,True,86,185.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@MKD-fe5vf,"They had no intention of observing it, just seeing if they could con Ukraine into stopping.",31.0,2025-05-10 19:36:45+00:00,2025-05-10T19:36:45Z,0.0,True,86,91.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@SkySoldier-y4u,"I really appreciate your indepth battlefield assessments and outcomes.
Slava Heroyam!",66.0,2025-05-10 20:26:16+00:00,2025-05-10T20:26:16Z,0.0,False,86,85.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@davidsalls7173,"Thank you RfU
FDJT & ICE",25.0,2025-05-10 18:23:10+00:00,2025-05-10T18:23:10Z,0.0,False,86,24.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@Fourteen6449,Go Ukraine. Keep the pressure on.,159.0,2025-05-10 18:33:46+00:00,2025-05-10T18:33:46Z,0.0,False,86,33.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@barbaramassey3787,Thank you for reporting.,39.0,2025-05-10 19:26:42+00:00,2025-05-10T19:26:42Z,0.0,False,86,24.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@marcusott2973,"Much awaited, much appreciated excellent insights as always from you.",57.0,2025-05-10 18:07:43+00:00,2025-05-10T18:07:43Z,0.0,False,86,69.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@shawnr771,Thank you for the update.,40.0,2025-05-10 18:06:57+00:00,2025-05-10T18:06:57Z,0.0,False,86,25.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@PeterPeeters-f5y,Every sane man stands with Ukraine,235.0,2025-05-10 18:15:36+00:00,2025-05-10T18:15:36Z,4.0,False,86,34.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@robbierobinson2034,Hey and women too! 😁 Slava Ukraini! 🇺🇦 Heroiam Slava! 💙💛,40.0,2025-05-10 18:23:03+00:00,2025-05-10T18:23:03Z,0.0,True,86,56.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@Simon-ch7yd,and biological women........don´t forget the support of biological women,8.0,2025-05-10 18:25:04+00:00,2025-05-10T18:25:04Z,0.0,True,86,72.0,303,5.05
_trazcna5lM,"Spectacular Failure: 4 VECTORS, 46 ASSAULTS, ZERO SURVIVORS! | RFU News",RFU News — Reporting from Ukraine,UCcNB1tZYpeDetqCadElv9Ow,2025-05-10 18:00:28,225058,20375,301,PT5M3S,"Subscribe to our news website today and unlock exclusive strategic and tactical insights: https://www.rfunews.com/pricing Today, ...",@fuerstmetternich1997,I stand with Russia.,6.0,2025-05-10 18:35:51+00:00,2025-05-10T18:35:51Z,0.0,True,86,20.0,303,5.05
