video_id,video_title,channel_title,view_count,like_count,total_comments,duration_minutes,comments_collected,total_comment_likes,avg_comment_likes,published_at
-4CBmpOy5gQ,"Завершити війну за добу? Ну звісно, сарказм.",Суспільне Новини,1398485,15078,319,0.6166666666666667,48,4032.0,84.0,2025-06-26 07:07:49
-4cWz9DF6K0,Devious Putin&#39;s secret Nato invasion plans REVEALED as experts warn Ukraine is just the start,The Sun,138903,2393,929,8.066666666666666,55,1410.0,25.636363636363637,2025-06-10 16:41:31
-DIZMHXdQqw,Would Taurus missiles be a game-changer? | Michael Clarke Ukraine war Q&amp;A,Sky News,163169,2921,569,41.483333333333334,73,1511.0,20.698630136986303,2025-05-28 11:45:21
-G7H9c1z-48,Ukrainian F-16 pilot killed while repelling Russian air attack | REUTERS,Reuters,486642,3725,0,1.3333333333333333,0,0.0,,2025-06-29 15:34:04
-HAzRey1EoM,What If Russia Finally Beat Ukraine?,60SecondClub,373161,10018,568,0.85,35,1771.0,50.6,2025-06-29 01:00:00
-J_gQ6qSKts,Russia Just Broke the War Wide Open | Russia-Ukraine War | WION | GRAVITAS,WION,143607,1257,378,4.433333333333334,41,898.0,21.902439024390244,2025-07-01 16:54:46
-SAQniXUCjo,Russia-Ukraine War: Putin Rains Drones on Ukraine! Kyiv &amp; Odesa in Flames; Zelensky In Shock | WION,WION,31336,199,83,1.2666666666666666,7,62.0,8.857142857142858,2025-06-10 08:37:05
-VPwF0iyIa4,Trump rejects Putin’s offer to help mediate Israel-Iran war; calls Russia-Ukraine war &#39;so stupid&#39;,WKYC Channel 3,22963,188,36,0.5333333333333333,6,56.0,9.333333333333334,2025-06-18 18:34:39
-ZXMhZb2ewg,Video of Ukrainian strike on two Russian locomotives carrying tanks and ammunition in Zaporizhzhia,Kanal13,381912,5153,146,9.1,39,724.0,18.564102564102566,2025-06-27 17:28:21
-pABK1ThRzE,Update from Ukraine | Awesome News! Strike on Ruzzian Base! They Lost Jets | Putin Panics,Denys Davydov,308446,37099,997,18.216666666666665,122,3971.0,32.549180327868854,2025-06-27 23:45:17
-vaU5DhNdHw,Why Did Ukraine Deny Military Aid From Taiwan?,Shawn Ryan Show,868566,25931,654,0.8333333333333334,51,3151.0,61.78431372549019,2025-06-21 21:00:00
-ygjaQnxGjw,👉 Soldados RUSOS se RINDEN por HAMBRE… y sus AVIONES se ATACAN entre SÍ | Guerra en Ucrania,ALMA CUANTICA,1652,211,15,10.283333333333333,0,0.0,,2025-06-14 19:22:12
01LzFhMG-xA,Real tank duel footage! A Ukrainian tank stops Russian column,FUTURE,309385,5109,125,8.333333333333334,18,233.0,12.944444444444445,2025-06-21 12:26:24
07JILk22NpQ,Putin Lost Control! Russia Threatens to Hit BERLIN If Ukraine Strike Capital Moscow with Taurus,PPR GLOBAL,58201,1428,307,19.566666666666666,33,923.0,27.96969696969697,2025-05-31 22:39:36
0G5X2awv-nU,You Won’t Believe What NATO Just Did For Ukraine - It’s OVER Putin,The Military Show,563307,11021,1053,17.266666666666666,63,3710.0,58.888888888888886,2025-06-24 17:15:00
0I3VW8x8AMY,"Russia-Ukraine War: Russian Missile and Drone Attack On Kyiv Kills 4, Injures At Least 20 | Shorts",WION,11370,123,8,0.75,0,0.0,,2025-06-06 12:50:30
0YPV_aQhB2I,Trump responds to Putin&#39;s attacks on Ukraine #trump #russia #war #ukraine #putin #world #shorts #us,Fox News,259022,11425,1594,0.5166666666666667,109,3508.0,32.18348623853211,2025-05-25 23:08:59
0hirQUmXxv8,Update on Iran and Ukraine | USA Strikes Iran and Ends Nuclear program? Ukraine hit huge Z-Train,Denys Davydov,315345,29949,1468,21.316666666666666,125,2650.0,21.2,2025-06-22 16:00:06
0scNGknMy-4,Amazing facts about Russia 🇷🇺 vs Ukrain 🇺🇦 #russia #ukraine #factsmine #facts #amazingfacts,Factsmine,4,0,0,0.9666666666666667,0,0.0,,2025-06-16 07:58:31
0zymlipCZY4,Funny incidents on the Russia Ukraine battlefield #military #usa #amazing #shorts #ukraine,Anne Vipondyhtre,116252,1242,140,1.0,17,375.0,22.058823529411764,2025-06-13 11:13:38
11GK1oX_13c,Kharkiv hit by &#39;most powerful attack&#39; of Russia-Ukraine war,We Are Iowa Local 5 News,45477,214,102,2.1333333333333333,13,181.0,13.923076923076923,2025-06-08 03:11:53
144iFGYbU7U,Canada Just STUCK IT to Russia Where It HURTS,The Military Show,391776,8552,881,18.833333333333332,169,5632.0,33.32544378698225,2025-07-01 23:15:49
1FEVPj4KhNM,Zelenskyy discusses Ukraine&#39;s &#39;Operation Spiderweb&#39; targeting Russian aircraft,NBC News,119152,1102,191,0.5333333333333333,28,435.0,15.535714285714286,2025-06-02 16:55:52
1FdrKDFDoB4,"Russia-Ukraine War: 50,000 Russian Troops On Sumy Front, 213 Settlements Evacuated | WION Newspoint",WION,70468,683,116,3.5833333333333335,21,318.0,15.142857142857142,2025-06-09 08:03:57
1GZysLQfYy0,Russia-Ukraine War: Russia&#39;s Tornado-S System Turns Battlefield Into Firestorm | World News,WION,27185,234,56,3.8833333333333333,4,28.0,7.0,2025-06-27 07:55:33
1Kmvzlvlrmo,Trump calls on Putin to end invasion of Ukraine after US bombs Iran out of war,Times Radio,358923,6936,1482,20.666666666666668,103,3982.0,38.66019417475728,2025-06-29 08:00:04
1R1NZmYYrVA,"Watch: Russian Strikes Hit Cities in Western Ukraine, Kyiv | Subscribe to Firstpost | N18G",Firstpost,55252,994,77,0.7666666666666667,10,245.0,24.5,2025-06-07 12:37:11
1byeMKUB5b4,&#39;Get This War Ended&#39; | Trump sends message to Putin and Zelenskyy,WSYX ABC 6,32669,269,22,0.48333333333333334,1,106.0,106.0,2025-05-10 18:05:47
1hOiGlTEdsQ,Ukraine SHREDS Russia’s EYES IN THE SKY,The Military Show,907397,16279,649,17.25,103,3683.0,35.75728155339806,2025-06-10 17:15:01
1iWrdq4zmnw,Update from Ukraine | Ukraine Strikes Back with many Drones. Ruzzia is Losing Caucasus. Elon Panics,Denys Davydov,275481,34725,858,17.483333333333334,117,3781.0,32.31623931623932,2025-07-01 07:53:15
1jZHmAULvcU,‘Enough With Ukraine!’ Orban Declares War-Tied Nations Don’t Belong in NATO or EU! | Times Now World,Times Now World,98234,1236,546,3.5833333333333335,65,1972.0,30.338461538461537,2025-06-25 16:00:06
1rpNxxKkUVU,Russia’s Silence After Ukraine’s Massive Drone Strike – What’s Coming Next? #russia #ukraine #putin,The Continental Brief,31635,282,7,0.5833333333333334,0,0.0,,2025-06-02 21:30:07
1ydPYUE5XrE,New Images Show Russian Air Base After Ukraine Drone Attack,TODAY,1562337,12174,2038,2.55,155,11519.0,74.31612903225806,2025-06-03 12:30:08
2B6SbePVg8Y,Ukraine says at least 40 Russian warplanes hit in massive drone strikes | BBC News,BBC News,1477387,21736,5152,3.45,242,33533.0,138.56611570247935,2025-06-01 13:45:04
2Hg-sZEYOWg,Trump told Putin to “mediate your own” Ukraine war before Israel and Iran,The Sun,49988,451,89,0.4,10,122.0,12.2,2025-06-18 20:06:22
2JsmSs3oPjc,Russia in &#39;far worse position now&#39; than during 2022 talks | Michael Clarke analysis,Sky News,499806,5617,1808,1.85,173,6420.0,37.10982658959538,2025-05-16 14:37:44
2gBiokRe2CM,Russia-Ukraine War: Russia Takes Over 150 Ukrainian Settlements In 150 Days | WION GAME PLAN,WION,117547,1127,349,4.016666666666667,27,533.0,19.74074074074074,2025-06-14 01:30:03
2hdTu5yBOU0,Des drones UJ-26 « Bober » ont frappé des cibles importantes en Crimée la nuit dernière. #guerre,russianspinfr,57,1,0,0.36666666666666664,0,0.0,,2025-07-01 20:16:06
2omRjlPlf2s,Russia Ukraine War | Ukraine Releases New Footage Of Attack On Russian Air Bases,NDTV,31968,510,5,1.9333333333333333,2,23.0,11.5,2025-06-08 08:00:09
3-PQG9gOhXo,Top 5 Shocking Moments in the Russia-Ukraine War You Didn’t See Coming!,Military TV,59660,1232,223,8.483333333333333,15,243.0,16.2,2025-05-16 14:00:08
3-j_mYQOvWY,Russia&#39;s Largest Missile &amp; Drone Attack on Ukraine | Subscribe to Firstpost | N18G,Firstpost,453650,9758,1011,0.6833333333333333,99,4969.0,50.19191919191919,2025-05-25 14:20:03
33cDTm5Q3R8,"¡ALERTA ROJA en KIEV! ATAQUE deja MUERT0S, HERID0S | Guerra en Ucrania Ultima Hora en Vivo",ALMA CUANTICA,243,50,11,5.0,0,0.0,,2025-05-25 14:00:10
3N56JxYsNTY,Ukraine DESTROYED Russian Bombers in Biggest Surprise Attack of War,The Infographics Show,335491,5903,414,20.4,61,2706.0,44.36065573770492,2025-06-20 18:11:01
3R7j74bq3-w,Ukrainian heavy strike OBLITERATES Russian artillery as drones drop shells on dugouts,The Sun,65173,1466,141,8.383333333333333,17,231.0,13.588235294117647,2025-06-30 07:00:08
