date,sentiment_mean,comment_count,war_comments,sentiment_smooth
2024-09-01,-0.3751204475550584,71,71,
2024-09-06,-0.4742322402695815,48,48,
2024-09-07,-0.7928519248962402,20,20,
2024-09-08,-0.6216659508645535,32,32,-0.5052568769550515
2024-09-09,-0.5663097612559795,32,32,-0.5898971873789262
2024-09-12,-0.3258134631010202,26,26,-0.6304000337973182
2024-09-17,-0.38080435074292696,13,13,-0.5331275535062846
2024-09-18,-0.9676026205221812,6,6,-0.5216712299087806
2024-09-27,-0.7577521651983261,20,20,-0.5133177963663984
2024-09-28,-0.11194456285900539,9,9,-0.566871906360707
2024-10-06,-0.5414716856820243,14,14,-0.5462977377656918
2024-10-08,-0.507835726459305,231,231,-0.4694564817229648
2024-10-09,-0.7006922330611791,195,195,-0.39527298632884994
2024-10-10,-0.23678517057782128,42,42,-0.47072330123404066
2024-10-11,-0.42971382822309223,7,7,-0.4376664825249591
2024-10-13,-0.2384676974395226,29,29,-0.4317221642096934
2024-10-16,-0.6400967671953398,29,29,-0.4106303185493138
2024-10-17,-0.31007395471845356,21,21,-0.45196268371291365
2024-10-18,-0.4662254982524448,45,45,-0.4382965188043267
2024-10-25,-0.5530493134385223,286,286,-0.48540712021063254
2024-10-28,-0.5261117267230201,63,63,-0.48133137802880815
2024-11-07,-0.3340506738629834,29,29,-0.5046500277356
2024-11-10,-0.5682419072836637,64,64,-0.5100249876343074
2024-11-11,-0.611566571922569,143,143,-0.509586054193796
2024-11-12,-0.47330450266599655,56,56,-0.505239927625776
2024-11-14,-0.5038502175433963,102,102,-0.5710897550380741
2024-11-15,-0.5499767793549432,27,27,-0.5675269866490024
2024-11-16,-0.4956888407468796,4,4,-0.558747499314005
2024-11-17,-0.7949994657490704,37,37,-0.5221156756182845
2024-11-18,-0.5433025285601616,32,32,-0.4729681788722507
2024-11-19,-0.550110160577588,164,164,-0.3990085333379321
2024-11-24,-0.216881736795953,47,47,-0.38560924613114617
2024-11-25,-0.15981774032115936,12,12,-0.3663099695457083
2024-11-28,-0.032259260614713035,12,12,-0.33530696553569783
2024-11-30,-0.4018938302993774,10,10,-0.3381661525815914
2024-12-05,-0.6599045296510061,6,6,-0.41288514682869015
2024-12-10,-0.3262815004900882,19,19,-0.4393444640282857
2024-12-13,-0.5701244698988425,37,37,-0.4723766432618594
2024-12-25,-0.7399146965256443,54,54,-0.4686627352305807
2024-12-31,-0.3450329607183283,55,55,-0.4247601670054338
2025-01-05,-0.26348451524972916,8,8,-0.46138535465340386
2025-01-06,-0.37589647408042637,56,56,-0.4385090632218885
2025-01-07,-0.35258655207497736,35,35,-0.38771968526131
2025-01-15,-0.5826578140258789,47,47,-0.42634270736554847
2025-01-16,-0.40999042987823486,7,7,-0.44012522485588684
2025-01-25,-0.3843890508015951,30,30,-0.3642065427295204
2025-01-26,-0.615394115447998,6,6,-0.3830783991410889
2025-01-31,-0.3599621376820973,28,28,-0.3921799946659921
2025-02-05,0.1555343008041382,25,25,-0.4070574196333271
2025-02-07,-0.48468954695595634,63,63,-0.43467207458360735
2025-02-12,-0.6463689827002012,52,52,-0.33669794349631227
2025-02-13,-0.5141324046495799,222,222,-0.24789160534420532
2025-02-14,-0.5776916354535574,83,83,-0.3528225952250998
2025-02-15,0.07042480216306798,17,17,-0.34693798407803883
2025-02-16,0.2616822293826512,21,21,-0.32196209524851066
2025-02-18,-0.5789826283621233,86,86,-0.3280643535301561
2025-02-19,-0.44349726892652963,252,252,-0.31140616555403594
2025-02-20,-0.4715377608935038,165,165,-0.3596381548495787
2025-02-21,-0.5568482126210975,229,229,-0.4445972754215975
