video_id,video_title,channel_title,view_count,like_count,total_comments,duration_minutes,comments_collected,total_comment_likes,avg_comment_likes,published_at
-RTYUSVNiz4,Update from Ukraine | Wow! Ukraine goes all in Striking Crimea | USA is changing Policy of Ukraine,Denys Davydov,373677,35383,1190,12.866666666666667,116,3642.0,31.396551724137932,2025-05-03 00:24:53
-_PkcdXAtDo,Mass &quot;suicide&quot; of Russians on motorcycles in Ukrainian steppes – Invaders to step up such attacks,Kanal13,203162,3320,156,9.966666666666667,25,545.0,21.8,2025-05-01 00:00:06
0Ar--N7-ZZk,UK overwhelmed by Russian missiles in war game simulation,The Sun,61033,1409,378,2.7666666666666666,17,346.0,20.352941176470587,2025-05-05 17:16:19
1hy4OY9lNKA,Russia Launches Multi-Directional Offensives In Ukraine | GRAVITAS,WION,57668,560,87,4.683333333333334,9,187.0,20.77777777777778,2025-05-05 17:00:22
1yN1qUxBj5Y,Update from Ukraine | Great! Ukraine Pushed Ruzzia in Kharkiv | Threat to Putin&#39;s parade,Denys Davydov,296641,28612,916,15.45,117,3546.0,30.307692307692307,2025-05-08 18:03:11
2V1EY6S0dMY,Putin BETRAYED! US Sends MASSIVE Missile System to Ukraine,The Military Show,200152,4565,417,20.0,39,891.0,22.846153846153847,2025-05-06 20:15:00
2YtW9y9e8us,Soldier pins down enemy targets with RPG fire,Daily Mail News,2429299,18589,215,0.18333333333333332,12,343.0,28.583333333333332,2025-05-07 14:42:59
3Y2nyBD0yLU,Trump warns of &#39;decisions&#39; that may need to be made in Ukraine-Russia peace talks #trump #news #fox,Fox News,212496,5187,447,0.5,43,1234.0,28.697674418604652,2025-05-07 21:33:30
4Hyj3yEIDkg,War Evolves: Combat Divers &amp; Ukraine’s Frontline Updates | Military Mind,TVP WORLD,33315,1537,25,9.033333333333333,6,47.0,7.833333333333333,2025-05-07 20:15:00
65dQ7MZcV-M,Russia preparing for large-scale attacks on 3 regions: Moscow to suffer record losses in war in 2025,Kanal13,31154,767,66,9.0,7,60.0,8.571428571428571,2025-05-05 06:00:06
